name,link,1D,30D,1Y
Alfalah GHP Dedicated Equity Fund,https://sarmaaya.pk/mutual-funds/fund/daf446ea-4a4c-4e51-bdc9-a37837210201,6.17%,1.97%,216.43%
HBL Investment Fund-Class A,https://sarmaaya.pk/mutual-funds/fund/e3322f51-c790-48e6-bd59-dac16b7ff748,6.07%,3.54%,109.28%
HBL Growth Fund-Class A,https://sarmaaya.pk/mutual-funds/fund/ac236e09-2caa-43dd-90dc-01cf81da1bf1,0.77%,-2.54%,100.71%
HBL Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/2fd878d8-2971-4c79-812d-4fe64ccd0bd1,7.76%,1.46%,93.02%
AL Habib Stock Fund,https://sarmaaya.pk/mutual-funds/fund/bd6cc51a-fc3c-42e1-b42e-0a380c285977,6.33%,2.50%,78.04%
AL Habib Pension Fund,https://sarmaaya.pk/mutual-funds/fund/31c18202-70f8-4a33-888e-9d6c7ec76916,5.95%,2.40%,76.82%
UBL Retirement Saving Fund,https://sarmaaya.pk/mutual-funds/fund/0c35e4f0-835f-481d-a01b-e625227c2f25,6.10%,3.27%,76.19%
AL Habib Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/a56a55a8-e488-4002-9a97-8871f7259c3c,6.53%,2.30%,75.71%
NAFA Pension Fund,https://sarmaaya.pk/mutual-funds/fund/7f0d07e4-33fe-4dfb-b5cf-c1b60c16a636,5.85%,3.56%,72.72%
Al Ameen Islamic Retirement Savings Fund,https://sarmaaya.pk/mutual-funds/fund/be051e99-e6e5-4809-9a84-6540b9d4f4e7,6.88%,3.51%,71.90%
AL Habib Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/a90441e1-ecae-4dc4-835a-f9b23e3b75c4,6.56%,1.70%,70.33%
AL Habib Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/1ec0527b-a58a-4dda-9407-f24cdecd8263,4.69%,2.33%,66.51%
Alfalah Stock Fund - II (Formerly: Faysal Stock Fund),https://sarmaaya.pk/mutual-funds/fund/ddf1c3ab-df73-4962-87ec-32cef5f52486,6.02%,0.06%,66.38%
NAFA Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/82892774-289c-45a9-beb2-855fa35fc9e9,6.79%,3.17%,65.97%
Al Ameen Islamic Energy Fund,https://sarmaaya.pk/mutual-funds/fund/3e2fe825-b10f-406c-849d-a305addb8c21,7.31%,0.56%,65.70%
JS Pension Savings Fund,https://sarmaaya.pk/mutual-funds/fund/4d4f6b2f-850c-4371-97a0-75f1a46fa6ed,6.27%,0.90%,65.48%
JS Momentum Factor Exchange Traded Fund,https://sarmaaya.pk/mutual-funds/fund/d8cc72d2-47fd-464d-9af1-fe20fe875b87,8.68%,0.16%,64.65%
NIT Pakistan Gateway Exchange Traded Fund,https://sarmaaya.pk/mutual-funds/fund/44750c57-cd55-411f-aca5-487890a4f402,-2.15%,8.32%,64.17%
Meezan Dedicated Equity Fund,https://sarmaaya.pk/mutual-funds/fund/e88b6193-2b53-4b92-9167-1b4df4015355,6.63%,3.61%,63.80%
NBP Stock Fund,https://sarmaaya.pk/mutual-funds/fund/34ffaecf-8342-4977-9f66-453f9218afdb,5.95%,2.28%,63.71%
Alfalah GHP Alpha Fund,https://sarmaaya.pk/mutual-funds/fund/3de7c0d8-06c6-42bd-b40e-248dded6c23b,5.60%,2.17%,63.36%
Meezan Tahaffuz Pension Fund,https://sarmaaya.pk/mutual-funds/fund/8da887e9-1f61-4d78-be61-e1e1bc7ac21d,6.68%,3.74%,63.07%
HBL Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/c842f575-d347-4ac4-baf3-3c1752144471,7.50%,0.60%,62.59%
Al Ameen Shariah Stock Fund,https://sarmaaya.pk/mutual-funds/fund/961e6b11-ec7f-442b-aaa2-c066869bfa57,6.99%,3.31%,62.32%
Al Meezan Mutual Fund,https://sarmaaya.pk/mutual-funds/fund/ea6b13b2-f1e1-460a-904f-29a8747521da,6.64%,3.52%,62.09%
Alfalah GHP Pension Fund,https://sarmaaya.pk/mutual-funds/fund/c257e52f-7b5c-4be3-9497-00d4ab79218d,5.40%,1.98%,61.86%
NBP Islamic Energy Fund,https://sarmaaya.pk/mutual-funds/fund/3a078ef1-5b12-4323-8459-97999acd9780,7.22%,0.58%,61.73%
Alfalah GHP Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/e08fc302-74c9-4bbc-a189-e45d1af2b9ba,6.89%,2.87%,61.70%
Atlas Pension Islamic Fund,https://sarmaaya.pk/mutual-funds/fund/1367eb8b-8cae-477e-8ee8-24740729a441,7.44%,2.39%,61.55%
NBP Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/c685351e-ff4c-4b06-b89c-d8c7b67a82aa,6.96%,1.74%,61.24%
ABL Pension Fund,https://sarmaaya.pk/mutual-funds/fund/0290ecb6-88d3-40eb-95c7-535653d0c5bb,6.46%,1.43%,61.20%
Alfalah GHP Stock Fund,https://sarmaaya.pk/mutual-funds/fund/0ff41c7a-91e2-43ed-8e47-e04d8243f9b7,6.18%,1.95%,60.78%
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Active Allocation Plan),https://sarmaaya.pk/mutual-funds/fund/7d61fc57-494b-40e0-8a5a-e59e7cb9b61a,6.02%,1.89%,59.74%
AWT Stock Fund,https://sarmaaya.pk/mutual-funds/fund/946c4b77-b98d-4f1b-b386-4c8ad1004547,6.67%,1.93%,59.49%
Atlas Pension Fund,https://sarmaaya.pk/mutual-funds/fund/19d82c95-ad27-4b51-bb1d-a2790f22d9eb,6.25%,2.87%,59.37%
MCB Pakistan Stock Market Fund,https://sarmaaya.pk/mutual-funds/fund/30e49a4d-efb8-48c1-9b3c-39cc467073ee,-3.13%,-1.65%,58.64%
Atlas Stock Market Fund,https://sarmaaya.pk/mutual-funds/fund/17ed5324-b3d6-4a60-9d7c-1aed5283b6f5,6.11%,2.56%,58.54%
ABL Stock Fund,https://sarmaaya.pk/mutual-funds/fund/ddd878cb-8ef6-4408-a966-690b07fa51a4,6.54%,2.27%,58.53%
Pakistan Pension Fund,https://sarmaaya.pk/mutual-funds/fund/588f65fb-69cf-44b2-a7ad-5a186dc7effa,-3.29%,-1.73%,58.48%
Faysal Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/8b647993-eb7b-4629-b059-02931f51728a,6.98%,1.77%,57.01%
Alfalah Asset Allocation Fund (Formerly: Faysal Asset Allocation Fund),https://sarmaaya.pk/mutual-funds/fund/379f5ac0-6083-48cd-9d53-5c372eb6f6dd,5.43%,1.78%,56.86%
Atlas Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/59ea0aee-73b0-4b2d-86cd-e68afb757a62,7.34%,2.11%,56.69%
Meezan Islamic Fund,https://sarmaaya.pk/mutual-funds/fund/698bac51-81aa-4e0c-ad94-93d630e1e2a4,6.69%,2.89%,56.58%
Al Ameen Islamic Aggressive Income Plan I,https://sarmaaya.pk/mutual-funds/fund/2ba76595-c620-448e-b7e1-3e8c19938f63,11.90%,424.02%,55.90%
Meezan Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/53c770de-13ae-4a3b-8fbc-f74f0cf53c6e,5.94%,3.78%,55.80%
JS Large Cap Fund,https://sarmaaya.pk/mutual-funds/fund/fce4b45e-5a0e-4c52-b971-08239b83ac01,6.75%,2.17%,55.70%
UBL Stock Advantage Fund,https://sarmaaya.pk/mutual-funds/fund/365f1518-5686-4d4e-b706-e5474393216b,-3.55%,-2.69%,55.70%
NBP Sarmaya Izafa Fund,https://sarmaaya.pk/mutual-funds/fund/abe9f12c-35ab-4fd6-9fda-4ad4a124354a,4.68%,0.64%,55.51%
Atlas Islamic Dedicated Stock Fund,https://sarmaaya.pk/mutual-funds/fund/40bf7690-73d2-4e9d-90cd-daa0b5aabc6b,7.35%,2.02%,55.45%
Meezan Energy Fund,https://sarmaaya.pk/mutual-funds/fund/25ec9842-c58c-4b3a-bb7c-eb2a08778fae,6.44%,0.77%,54.88%
HBL Energy Fund,https://sarmaaya.pk/mutual-funds/fund/81bf0a2a-5f02-49da-883f-fb51ebc5bd65,8.03%,1.31%,54.85%
ABL Financial Planning Fund (Strategic Allocation Plan),https://sarmaaya.pk/mutual-funds/fund/8f865b06-289c-4292-88d9-813a9c9d7358,5.31%,1.91%,54.42%
Lakson Equity Fund,https://sarmaaya.pk/mutual-funds/fund/aaa602d9-9e40-4e5c-923d-6db7acc3d7b0,-0.01%,-0.08%,54.09%
AWT Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/9b969e4f-d9a5-422d-b9ee-a54c1bdfa04f,7.47%,2.09%,53.98%
ABL Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/e9cb1e10-f4c2-4583-94e6-609719009796,6.72%,0.65%,53.95%
NBP Financial Sector Fund,https://sarmaaya.pk/mutual-funds/fund/381d254a-ad37-4e82-8d53-f535699d4946,3.05%,3.80%,53.52%
Alfalah Consumer Index Exchange Traded Fund,https://sarmaaya.pk/mutual-funds/fund/2e9947be-ec09-4a48-92ac-30e083cefaf8,7.86%,1.10%,53.49%
HBL Pension Fund,https://sarmaaya.pk/mutual-funds/fund/5c376b2a-b889-492b-a478-e6b9b9bf122c,7.28%,0.84%,53.49%
UBL Pakistan Enterprise Exchange Traded Fund,https://sarmaaya.pk/mutual-funds/fund/4f3d12c5-0d97-42a9-be44-4412b71448b5,-2.23%,-2.11%,52.75%
NBP Pakistan Growth Exchange Traded Fund,https://sarmaaya.pk/mutual-funds/fund/1bb0785f-307c-4233-b48b-6d6acf876e0b,5.29%,2.75%,52.53%
UBL Retirement Saving Fund,https://sarmaaya.pk/mutual-funds/fund/46cf2f78-68ec-4cf0-a64f-070444f6433f,-1.13%,-0.46%,51.86%
HBL Equity Fund,https://sarmaaya.pk/mutual-funds/fund/fd25cb64-d9b5-4cbd-b78e-44ebea1abd9a,7.60%,0.69%,51.76%
Allied Finergy Fund,https://sarmaaya.pk/mutual-funds/fund/b91cf7cb-a701-4b78-b871-a8a4cbbfe733,5.03%,2.06%,50.63%
JS Islamic Pension Savings Fund,https://sarmaaya.pk/mutual-funds/fund/7195a5d6-ecb4-488e-af54-872b7e8d37d1,7.51%,0.27%,49.91%
JS Growth Fund,https://sarmaaya.pk/mutual-funds/fund/2cde1fa2-cbd9-429a-a16d-4125d9248482,6.46%,2.48%,49.77%
National Investment Unit Trust,https://sarmaaya.pk/mutual-funds/fund/5c81ea48-2e88-4556-91dd-74c975047528,-3.83%,-2.82%,49.75%
Alfalah GHP Islamic Dedicated Equity Fund,https://sarmaaya.pk/mutual-funds/fund/feee46d6-16bd-43ab-841d-74059dc155db,6.96%,2.57%,49.57%
JS Islamic Fund,https://sarmaaya.pk/mutual-funds/fund/4be15d35-6534-4c0b-a09e-cdc17ae30cba,8.18%,0.83%,49.34%
ABL Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/6aaa0979-eead-4b43-9bea-ed85446833ea,6.21%,0.14%,49.25%
HBL Islamic Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/0225e443-ab96-4636-8ff9-9d1fa04fdbd5,6.42%,0.38%,49.19%
Alfalah GHP Value Fund,https://sarmaaya.pk/mutual-funds/fund/8db694bb-6647-434d-9a98-38f73d510f96,4.86%,2.24%,48.67%
Alfalah GHP Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/d16c512e-cdb3-414f-a600-9edf18a6ec73,6.69%,3.11%,48.46%
UBL Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/117df805-ad76-4bb2-a472-d504aca8950e,5.10%,2.92%,48.41%
Alhamra Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/a7eef86d-4bc4-4218-8074-11e007147e73,-3.62%,-2.04%,48.06%
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Active Allocation Plan II),https://sarmaaya.pk/mutual-funds/fund/acdfed9c-9568-4175-9dcf-8f48ca6fe3fd,1.71%,1.08%,47.79%
NBP Balanced Fund,https://sarmaaya.pk/mutual-funds/fund/dfcb6593-3035-4c7a-bc17-af20a609624e,3.87%,0.96%,47.64%
Faysal Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/f7e8db0e-65de-4846-a81f-c757f6ed448d,6.95%,1.27%,47.55%
ABL Islamic Dedicated Stock Fund,https://sarmaaya.pk/mutual-funds/fund/ba051fe4-9c5a-49fc-bfd8-c9718f79146b,6.93%,1.20%,47.17%
Alhamra Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/ef8a53b3-5ec7-45f7-af70-7f2eead6136d,-3.60%,-2.29%,46.96%
NBP Islamic Sarmaya Izafa Fund,https://sarmaaya.pk/mutual-funds/fund/2dfc19d8-e323-4626-bf94-7241edaf533e,5.85%,1.69%,46.82%
MCB Pakistan Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/168715a7-5edd-47cc-977a-8fcef5fe49fc,-2.73%,-1.47%,46.58%
Meezan Financial Planning Fund of Funds (Aggressive),https://sarmaaya.pk/mutual-funds/fund/9b8ed6b7-6c3f-4a08-ac96-d67a6433e593,4.97%,2.30%,45.95%
Alhamra Islamic Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/8a163c45-87d7-4a57-9e09-209451d30c29,-3.07%,-1.29%,45.54%
Meezan Financial Planning Fund of Funds (MAAP I),https://sarmaaya.pk/mutual-funds/fund/28d5daa6-1b6f-4405-aa34-cdbe40e7d1c3,4.55%,2.73%,44.96%
Meezan Gold Fund,https://sarmaaya.pk/mutual-funds/fund/7e59207d-798c-43ab-bc76-4a44d2f90a64,515.79%,-1.55%,44.56%
Golden Arrow Stock Fund,https://sarmaaya.pk/mutual-funds/fund/28719b3e-5dd0-41b3-82b6-cea280e9cd2d,6.59%,3.47%,44.50%
Pak Qatar Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/4a965087-f880-47a4-8534-9d7a85b60b43,6.35%,4.92%,44.30%
NIT Pension Fund,https://sarmaaya.pk/mutual-funds/fund/11d9226c-8bbd-4747-bdbd-f8eda94f4806,0.03%,0.47%,43.99%
Meezan Tahaffuz Pension Fund,https://sarmaaya.pk/mutual-funds/fund/0bc90775-03d4-4e19-8032-37d840c121d3,-0.01%,-1.60%,43.31%
HBL Islamic Equity Fund,https://sarmaaya.pk/mutual-funds/fund/03d673b6-8bf9-4ce1-b59b-2baa8e053bb0,7.73%,1.20%,42.81%
First Capital Mutual Fund,https://sarmaaya.pk/mutual-funds/fund/cc1cae7e-38b1-48f3-bbf4-9c2ec6454d46,5.75%,1.38%,42.70%
Unit Trust of Pakistan,https://sarmaaya.pk/mutual-funds/fund/1c57b1da-0714-46bf-9b35-e313ea38e6c6,4.59%,1.79%,42.44%
Atlas Islamic Fund of Funds (Atlas Aggressive Allocation Islamic Plan),https://sarmaaya.pk/mutual-funds/fund/82de6b8c-a8da-404b-90da-3ca967338add,6.04%,-0.14%,42.25%
Meezan Strategic Allocation Fund (MSAP I),https://sarmaaya.pk/mutual-funds/fund/027edfe4-d427-44aa-bcf9-d99cc9f19da1,-2.56%,-1.73%,41.87%
MCB Pakistan Opportunity Fund (MCB Pakistan Dividend Yield Plan),https://sarmaaya.pk/mutual-funds/fund/21779d41-ac2c-44ff-9091-6dfc55cd2256,-2.01%,-1.34%,41.78%
KSE Meezan Index Fund,https://sarmaaya.pk/mutual-funds/fund/a0aac2a4-0ec4-4718-b2e5-4580f5cd8ddd,7.02%,1.22%,41.51%
Meezan Strategic Allocation Fund (MSAP II),https://sarmaaya.pk/mutual-funds/fund/8ea37a2c-a0b3-4a6a-942b-e51f8b3cc746,-2.65%,-1.95%,40.97%
UBL Financial Sector Fund,https://sarmaaya.pk/mutual-funds/fund/64b01bf7-f038-4b58-a2f8-deff3e03091a,3.70%,5.98%,40.66%
NIT Pension Fund,https://sarmaaya.pk/mutual-funds/fund/8d1c942e-a58f-4548-a566-2db2bced2ae7,-2.95%,-2.09%,39.67%
Alfalah Pension Fund - II (Formerly: Faysal Pension Fund),https://sarmaaya.pk/mutual-funds/fund/edde3f8c-0be6-4277-a8e6-c20d59e8beb9,0%,-0.13%,39.61%
AKD Islamic Stock Fund,https://sarmaaya.pk/mutual-funds/fund/a7e8354e-a510-41f7-94b3-742e80c74431,6.70%,-0.01%,39.19%
Meezan Strategic Allocation Fund (MSAP III),https://sarmaaya.pk/mutual-funds/fund/99d6ce35-70b5-41cd-93ed-7e397f7adba7,-2.55%,-1.72%,39.15%
HBL Multi Asset Fund,https://sarmaaya.pk/mutual-funds/fund/8d8ad54d-ac21-4028-93c9-f145d5f84cb7,5.16%,0.59%,39.05%
ABL Islamic Financial Planning Fund (Active Allocation Plan),https://sarmaaya.pk/mutual-funds/fund/0dac6a27-ca7d-40af-8522-a6b1adb6732e,5.49%,1.04%,38.97%
AKD Opportunity Fund,https://sarmaaya.pk/mutual-funds/fund/bccb2a8b-df32-4fe7-af35-53dbe77f0aee,5.36%,1.89%,38.81%
AKD Index Tracker Fund,https://sarmaaya.pk/mutual-funds/fund/3e357642-41f4-47f9-8ec2-8af48c889e77,8.84%,2.48%,38.41%
Meezan Strategic Allocation Fund (MSAP IV),https://sarmaaya.pk/mutual-funds/fund/beb27a2f-680e-4425-9e5d-da98497b0643,-2.54%,-1.68%,37.65%
NIT Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/f42c565f-f70e-4d8b-bb62-857fdd5b4d96,-3.90%,-3.92%,37.10%
Lakson Tactical Fund,https://sarmaaya.pk/mutual-funds/fund/1cf041a5-a809-485f-aad0-abb3a64eeefc,0.02%,1.10%,36.42%
Pakistan Capital Market Fund,https://sarmaaya.pk/mutual-funds/fund/51e1f8f0-79d8-4ab6-bf29-cf4d55947cba,-2.13%,-0.81%,36.16%
Meezan Strategic Allocation Fund (MSAP V),https://sarmaaya.pk/mutual-funds/fund/c214b9a5-9edd-45b2-bea6-37ed8204aeba,-2.62%,-1.78%,36.08%
Meezan Balanced Fund,https://sarmaaya.pk/mutual-funds/fund/f6bcc825-99fe-47f8-a09c-805f9e46697c,3.75%,2.14%,35.89%
Pak Oman Advantage Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/76e97248-0b10-4b5f-8dee-c446f60d6b06,1.54%,-1.06%,35.55%
Meezan Financial Planning Fund of Funds (Moderate),https://sarmaaya.pk/mutual-funds/fund/6c480a77-4e77-486b-8ae4-a1381d65b474,3.23%,1.88%,35.17%
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Moderate Allocation Plan),https://sarmaaya.pk/mutual-funds/fund/53c69b9c-6f0c-4746-9c34-d62a636567be,2.05%,1.19%,34.96%
UBL Growth & Income Fund,https://sarmaaya.pk/mutual-funds/fund/2a24c0b0-38b8-4c69-b465-14cfba6cf5de,23.14%,12.73%,34.38%
Al Ameen Islamic Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/895e9d50-f58c-4f20-9cfc-09d3bee3c6bb,2.91%,2.02%,32.79%
Atlas Islamic Fund of Funds (Atlas Moderate Allocation Islamic Plan),https://sarmaaya.pk/mutual-funds/fund/8e08979e-5365-41b9-ac93-0035c01e73d6,5.08%,-2.34%,32.78%
Pak Oman Islamic Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/2091f546-3549-486e-a905-6d9fa2bc546c,1.46%,-0.47%,32.63%
HBL Investment Fund-Class B,https://sarmaaya.pk/mutual-funds/fund/de03e481-cba5-4879-91d3-0013c2307737,7.89%,1.48%,32.50%
HBL Growth Fund-Class B,https://sarmaaya.pk/mutual-funds/fund/639ced48-a234-4e3c-8c8c-7c0897ff5ed0,-0.48%,-0.04%,32.43%
NIT Islamic Equity Fund,https://sarmaaya.pk/mutual-funds/fund/e62c5e81-5870-4367-a61d-f9f5a6c9f4ae,-4.24%,-4.77%,31.03%
NIT Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/9482a57e-1f9e-4bc5-adb6-6c1f4de6ac52,-2.07%,-1.27%,30.59%
JS Fund of Funds,https://sarmaaya.pk/mutual-funds/fund/506b4a90-f447-4417-8b57-e17232410f1c,0.04%,0.93%,30.23%
HBL Stock Fund,https://sarmaaya.pk/mutual-funds/fund/a014efb0-58d8-40ff-a3bc-ed6181accd02,7.69%,1.55%,29.81%
Meezan Pakistan ETF,https://sarmaaya.pk/mutual-funds/fund/8043a7d9-4671-4fa5-b520-b9da520f1b45,7.62%,0.13%,29.73%
Alfalah GHP Prosperity Planning Fund (Capital Preservation Plan IV),https://sarmaaya.pk/mutual-funds/fund/41c92870-9bbe-437e-af7b-e94b570e680e,2.84%,1.46%,29.27%
